"investigationsid","investigation","category","investigationtype","levels","labdescription"
"019d8bc3-60dc-7b73-aa87-8069aff2d4bf","C Reactive Protein","Biochemistry","Lab","{B2,C}","Acute phase protein marker for inflammation, infection, and tissue injury."
"019d8bc3-60dc-7465-9051-14ed8795da59","2 Hour Post Prandial Blood Glucose","Biochemistry","Lab","{A,B1}","Measures blood glucose levels 2 hours after a meal to assess glucose metabolism and diabetes control."
"019d8bc3-60dc-756e-a75a-dcb199d7a67b","24 Hr Urine for Protein","Urinalysis","Lab","{A,B1}","Quantifies protein excretion in urine over 24 hours to assess kidney function and detect proteinuria."
"019d8bc3-60dc-7589-a54d-d1d167f8d15b","Acid Phosphate","Biochemistry","Lab","{A,B1}","Measures acid phosphatase levels in blood, used in detecting prostate cancer and monitoring treatment."
"019d8bc3-60dc-759a-99ed-143bc6895a16","AEC","Haematology","Lab","{A,B1}","Absolute Eosinophil Count - measures eosinophil levels to assess allergic conditions and parasitic infections."
"019d8bc3-60dc-75a9-8d23-c6fe72e92e36","Apt-Prothrombin Time","Haematology","Lab","{A,B1}","Measures time taken for blood to clot, used to monitor anticoagulant therapy and detect bleeding disorders."
"019d8bc3-60dc-75c6-af10-b95af21a9ba6","B/F for Malaria Parasites","Microbiology","Lab","{A,B1}","Blood film microscopy for detection and quantification of malaria parasites in blood."
"019d8bc3-60dc-75da-a5c2-33f0c22a1491","Bleeding and Clotting Time","Haematology","Lab","{A,B1}","Assesses platelet function and coagulation status by measuring time for bleeding to stop and clot to form."
"019d8bc3-60dc-75ee-9b2e-1cf06172479e","Blood for C/S","Microbiology","Lab","{A,B1}","Blood culture and sensitivity testing to identify bacterial pathogens and determine antibiotic susceptibility."
"019d8bc3-60dc-7606-823f-6f9a1495b5e9","Blood Grouping","Blood Bank","Lab","{A,B1}","Determines ABO and Rh blood group type for blood transfusion compatibility."
"019d8bc3-60dc-7614-943d-adc028cb7f3c","Blood Grouping & Antibody Screen","Blood Bank","Lab","{A,B1}","Determines blood group and screens for unexpected red blood cell antibodies before transfusion."
"019d8bc3-60dc-7624-bd31-ab4a67ca4aed","Blood Parasites","Microbiology","Lab","{A,B1}","Microscopic examination of blood for parasites including malaria, filaria, and trypanosomes."
"019d8bc3-60dc-7639-8e93-6a672ee6d767","Blood Sugar PP","Biochemistry","Lab","{A,B1}","Post-prandial blood glucose measurement taken 2 hours after a meal to assess glucose regulation."
"019d8bc3-60dc-764f-8548-71db1abedb0d","Blood Urea","Biochemistry","Lab","{A,B1}","Measures urea nitrogen in blood to assess kidney function and protein metabolism."
"019d8bc3-60dc-7662-85d4-5de58141c1b2","Chloride","Biochemistry","Lab","{A,B1}","Measures chloride levels in blood to assess electrolyte balance, acid-base disorders, and hydration status."
"019d8bc3-60dc-7673-b804-694a5fc581e9","Demonstration of Heinz bodies","Haematology","Lab","{A,B1}","Microscopic detection of Heinz bodies in red blood cells to assess oxidative damage and drug-induced hemolysis."
"019d8bc3-60dc-7684-8da0-c02f743b026d","Donor Screening for HB & AG","Blood Bank","Lab","{A,B1}","Screens blood donors for Hepatitis B surface antigen to prevent transmission through transfusion."
"019d8bc3-60dc-7697-9c99-89faed6dae0a","ECG","Cardiology","Procedure","{A,B1}","Electrocardiogram records electrical activity of the heart to detect arrhythmias, ischemia, and other cardiac conditions."
"019d8bc3-60dc-76ad-b4bb-2f3e6e8f3ea1","Erythrocyte Sedimentation Rate (ESR)","Haematology","Lab","{A,B1}","Measures rate at which red blood cells settle in plasma, indicating inflammation or infection."
"019d8bc3-60dc-76c1-86a9-f0554829dde7","Fasting Blood Sugar/Random Blood Sugar","Biochemistry","Lab","{A,B1}","Measures blood glucose levels for diabetes diagnosis and monitoring, either after fasting or at any random time."
"019d8bc3-60dc-76d7-893e-be413217a456","Grouping/Cross Matching/Unit","Blood Bank","Lab","{A,B1}","Compatibility testing between donor blood and recipient before blood transfusion."
"019d8bc3-60dc-76e8-a515-b0b6540e4950","Haemoglobin Estimation (HB)","Haematology","Lab","{A,B1}","Measures hemoglobin concentration in blood to diagnose and monitor anemia and polycythemia."
"019d8bc3-60dc-76fa-a31b-28917bed364f","Hematocrit","Haematology","Lab","{A,B1}","Measures proportion of blood volume occupied by red blood cells, used to diagnose anemia and polycythemia."
"019d8bc3-60dc-7708-b932-6677065f00e3","IOPA Xray","Radiology","Imaging","{A,B1}","Intraoral Periapical X-ray for detailed imaging of individual teeth and surrounding bone."
"019d8bc3-60dc-771d-9d6b-00ecc373a08f","Malaria Card Test (Dipstik assay/rapid card)","Microbiology","Lab","{A,B1}","Rapid immunochromatographic test for detection of malaria antigens in blood, providing quick results."
"019d8bc3-60dc-772d-a038-0b4f28b2e2d3","NA+","Biochemistry","Lab","{A,B1}","Measures sodium levels in blood to assess electrolyte balance, hydration status, and kidney function."
"019d8bc3-60dc-773c-a3c3-40780798db51","Oral Glucose Tolerance Test (OGTT)","Biochemistry","Lab","{A,B1}","Measures blood glucose response to oral glucose load for diagnosis of diabetes and gestational diabetes."
"019d8bc3-60dc-774e-adb4-fd7080d8ff56","Platelet Count","Haematology","Lab","{A,B1}","Counts platelets in blood to assess bleeding risk, monitor chemotherapy, and diagnose thrombocytopenia."
"019d8bc3-60dc-7767-a4f8-4881e7e74d4c","Potassium","Biochemistry","Lab","{A,B1}","Measures potassium levels in blood to assess electrolyte balance, kidney function, and cardiac health."
"019d8bc3-60dc-78ae-aa60-4c82ccd4392c","Pregnancy Test","Biochemistry","Lab","{A,B1}","Detects human chorionic gonadotropin (hCG) in urine or serum to confirm pregnancy."
"019d8bc3-60dc-78cf-a67e-db6d4377708b","Prothrombin Time","Haematology","Lab","{A,B1}","Measures time for blood clot formation, used to monitor warfarin therapy and assess coagulation status."
"019d8bc3-60dc-78e4-9ffb-90b3b3b264dd","Reticulocyte Count (Retics)","Haematology","Lab","{A,B1}","Counts immature red blood cells to assess bone marrow response to anemia or treatment."
"019d8bc3-60dc-78f6-b6c1-f1b87862ce5f","RH Typing","Blood Bank","Lab","{A,B1}","Determines Rh factor (positive or negative) for blood transfusion and pregnancy management."
"019d8bc3-60dc-790a-a78d-13b3735aa7f2","Routine Stool Examination","Microbiology","Lab","{A,B1}","Microscopic and chemical examination of stool for parasites, blood, and other abnormalities."
"019d8bc3-60dc-7918-b8f5-b30f070c0cbf","Routine Urine Examination","Urinalysis","Lab","{A,B1}","Physical, chemical, and microscopic examination of urine to detect kidney disease, UTI, and metabolic disorders."
"019d8bc3-60dc-792f-acf0-061ca0a1c84b","Semen Analysis","Microbiology","Lab","{A,B1}","Evaluates sperm count, motility, morphology, and volume for infertility assessment."
"019d8bc3-60dc-7942-bb21-167ebb27cff3","Sickling Test","Haematology","Lab","{A,B1}","Detects presence of hemoglobin S (sickle cell trait or disease) by inducing red blood cell sickling."
"019d8bc3-60dc-7950-9a36-7bd413debae9","Skin Scrapping for Fungal Elements","Microbiology","Lab","{A,B1}","Microscopic examination of skin scrapings to detect fungal elements in suspected dermatophyte infections."
"019d8bc3-60dc-7969-86e5-67cd5ef7b6b3","Skin Snip","Microbiology","Lab","{A,B1}","Skin biopsy examination for detection of Onchocerca volvulus microfilariae in suspected onchocerciasis."
"019d8bc3-60dc-797e-8be8-09cc83f57f4d","Stool C/S","Microbiology","Lab","{A,B1}","Stool culture and sensitivity to identify bacterial pathogens causing diarrhea and determine antibiotic susceptibility."
