"investigationsid","investigation"
"019d8bc3-60de-742a-b752-f4f6d7620b20","Myocardial perfusion imaging"
"019d8bc3-60dc-7b20-aa59-7a4e5e072ed6","Barium Swallow"
"019d8bc3-60de-751f-9904-f9c24b81d4fe","Venogram - 1 Region"
"019d8bc3-60dc-7cac-9bc0-ccfcd487af32","Ductologram/Galactography"
"019d8bc3-60dc-7cbd-af95-327ae278f414","Fistulogram"
"019d8bc3-60de-717a-a925-82e68a11f766","Sialogram"
"019d8bc3-60dc-7a60-9d2a-37a9cb111f58","X-ray one region"
"019d8bc3-60dd-7110-9f07-d67b8a1082ee","Orthopanthomograph (OPT)"
"019d8bc3-60de-7198-8817-117f7b8adbc4","Transhepatic cholangiography (PTC)"
"019d8bc3-60dc-7a73-9fb4-4f9baa352b6d","X-ray two region"
"019d8bc3-60de-7410-973a-55fcf2b868dc","MRI 2 region with contrast"
"019d8bc3-60de-71bc-968d-ae3cf34b8413","Ultrasound"
"019d8bc3-60de-71c7-a026-fce21ae72f14","Ultrasound - 2 Regions"
"019d8bc3-60de-71d2-9965-ddee41b3399f","Ultrasound biomicroscopy"
"019d8bc3-60de-73ed-a78d-9f7623ee1daa","MRI - 1 Region + No Contrast"
"019d8bc3-60de-71e4-8d99-df279190753e","Urethrogram"
"019d8bc3-60de-7405-a965-840491bd2778","MRI 2 region with no contrast"
"019d8bc3-60de-7206-8256-3e23020877db","A-scan"
"019d8bc3-60dc-7708-b932-6677065f00e3","IOPA Xray"
"019d8bc3-60dc-7ae8-acef-e6e5f789a688","Barium Enema"
"019d8bc3-60de-73df-8b60-2b42579bdf47","Mammogram"
"019d8bc3-60de-73c9-b9c0-2642185b6910","Intravenous Urography"
"019d8bc3-60de-7338-9498-95be6cbcce62","Doppler Scan"
"019d8bc3-60de-7245-b8b5-23b96cfffe12","Bone Scan"
"019d8bc3-60de-731b-bbe2-245133ae5fa5","CT Scan - 2 region + 2 contrast"
"019d8bc3-60dc-7afe-afe0-d29dbcff5aca","Barium Meal"
"019d8bc3-60de-73fa-b648-c1a617e6f7de","MRI - 1 Region + Contrast"
"019d8bc3-60dc-7b11-83e0-d5750b368cbf","Barium Meal & Follow Through"
"019d8bc3-60dc-7c6e-abf7-c4edd7f468ad","Cystogram"
"019d8bc3-60dc-7e3a-9136-3052556f6ec0","Hysterosalpingogram"
"019d8bc3-60de-741f-92fa-9341936b3589","Myelogram - 1 Region"
"019d8bc3-60de-72e1-adb0-e7f8370bb61b","CT Scan - 1 Region + No Contrast"
"019d8bc3-60de-72ed-b3e1-a4ce74be3d44","CT Scan - 1 Region + 1 IV Contrast"
"019d8bc3-60de-72f5-b5e6-a2066dfcd6f4","CT Scan - 1 Region + 2 Contrast"
"019d8bc3-60de-7301-ad63-3b159d254fe4","CT Scan - 2 Region with No Contrast"
"019d8bc3-60de-730e-a3cc-40ba845ba8ff","CT Scan - 2 Region + 1 Contrast"
"019d8bc3-60dc-7969-86e5-67cd5ef7b6b3","Skin Snip"
"019d8bc3-60dc-797e-8be8-09cc83f57f4d","Stool C/S"
"019d8bc3-60dc-798c-aa5a-40e32c9e0322","Stool For Occult Blood"
"019d8bc3-60dc-79a3-8484-817472021f32","Total leucocyte count"
"019d8bc3-60dc-79b1-bf38-43800e2599a5","Trophozoite Count"
"019d8bc3-60dc-79c4-b1cf-7de171f76d53","Urine C/S"
"019d8bc3-60dc-79de-a451-fc97a3e6595e","Urine For Bence Jones Protein"
"019d8bc3-60dc-79f1-83cd-5cbb02f9e422","Urine Sugar"
"019d8bc3-60dc-7a04-a5c7-9814c6105dc1","VCT"
"019d8bc3-60dc-7a14-971f-559d339ddc5d","Veneral Disease Research Laboratory (VDRL)"
"019d8bc3-60dc-7a29-b198-7fd7cb4be9ef","Vitality Test"
"019d8bc3-60dc-7a3d-85de-ad8d40e57d91","WBC + Differential"
"019d8bc3-60dc-7a4c-abbb-0535a3b71800","Widal Test"
"019d8bc3-60dc-7a81-a782-2eae5734385a","Alanine Aminotransferase (ALT)"
"019d8bc3-60dc-7a96-bc75-4de20a8c2e71","Alpha Amylase (Serum/Urine)"
"019d8bc3-60dc-7aa5-864b-9041def5d40d","Anti-streptolysin test"
"019d8bc3-60dc-7abd-9473-914854abbd19","ASO titre"
"019d8bc3-60dc-7ad6-9938-fd1e2eb6528e","Aspartate Aminotransferase (AST)"
"019d8bc3-60dc-7b34-927d-cd8c4eca8794","Bilirubin"
"019d8bc3-60dc-7b46-aea6-123b2f8b2f84","Blood Urea & Electrolytes"
"019d8bc3-60dc-7b5c-b560-6a0e4f00b826","BUE & Creatinine"
"019d8bc3-60dc-7b89-9963-6da7335cd6ca","Calcium Infusion test"
"019d8bc3-60dc-7c29-9f3a-e1b8b3676e3b","Cerebrospinal Fluid for C/S"
"019d8bc3-60dc-7c42-91d6-ac14191a8b12","Creatinine"
"019d8bc3-60dc-7c58-bfa4-961ab5759edf","CSF Latex Agglutination"
"019d8bc3-60dc-7c83-a7be-2bf5be448081","Cytology"
"019d8bc3-60dc-7c90-a6de-e0689aa10f1f","Direct Bilirubin/Total Bilirubin"
"019d8bc3-60dc-7cd3-899d-0288d8a1b85a","Full Blood Count FBC (Auto) & Film Comment"
"019d8bc3-60dc-7ce4-aa83-e04689ffd9ef","Full Blood Count FBC (Automation)"
"019d8bc3-60dc-7cf4-b95a-643db01ecfde","Full Blood Count With Film Comment (Manual)"
"019d8bc3-60dc-7d0b-a200-81c3ec4e8f44","Fungal Cultures"
"019d8bc3-60dc-7d1e-a1fd-06c2bcf6a519","Gamma Glutamyl Transferase (GGT)"
"019d8bc3-60dc-7d2e-ae0c-89fbc237f63c","Glucose-6-Phosphate Dehydrogenase (G6PD)"
"019d8bc3-60dc-7d40-92ee-44b9cb928ddd","Glycosylated Haemoglobin (HBA 1C)"
"019d8bc3-60dc-7d70-a4d8-6e91cad0cab8","Haemoglobin A2 & F Estimation"
"019d8bc3-60dc-7d83-8d73-f96aa30fb75b","Haemoglobin Electrophoresis"
"019d8bc3-60dc-7d95-a1ef-027a7154b5a7","HDL - Cholesterol"
"019d8bc3-60dc-7da6-b7f9-0ac72fc3dc2e","Helicobacter Pylori Test"
"019d8bc3-60dc-7dba-9849-9115e6c1d91d","Hepatitis B Surface Antigen (HBSAG) HBV"
"019d8bc3-60dc-7dc8-8e2d-f8ede37e96e6","Hepatitis B Virus Profile (HBV Profile)"
"019d8bc3-60dc-7ddf-9ef6-61b6a269b710","Hepatitis C screening"
"019d8bc3-60dc-7def-b0af-4045df7656c7","High Vaginal Swab for C/S"
"019d8bc3-60dc-7e02-b87d-0ef0f064d623","High Vaginal Swab Routine Examination"
"019d8bc3-60dc-7e15-a981-08d7b185c887","Histopathology"
"019d8bc3-60dc-7e24-9b04-50456b5a6a4f","Human Immunodeficiency Virus (HIV) Screening"
"019d8bc3-60dc-7e60-80c1-28614ab61d38","LDL - Cholesterol"
"019d8bc3-60dc-7e70-ace1-da460b6728eb","LFT"
"019d8bc3-60dc-7e7c-b040-e9492545adeb","Lipid Profile"
"019d8bc3-60dc-7e93-82cc-bcadec2abe2c","Lupus Erythematosus Cell (LE Cell)"
"019d8bc3-60dc-7e9e-807d-5de0ed50c4b0","Magnesium"
"019d8bc3-60dc-7eb0-b5e8-bea0e8f0e9fe","Miscellaneous Cultures (Fluids, Aspirates & Exudates)"
"019d8bc3-60de-7087-a298-bef25ea179dd","Pancreatic Amylase"
"019d8bc3-60de-70e6-8491-ef9207d4151c","Phosphorus"
"019d8bc3-60de-70ee-bd31-6b95c2b441fb","Plasma Cortisol"
"019d8bc3-60de-70fb-8e0b-c49db02eeb76","Pleural fluid analysis"
"019d8bc3-60de-7111-865d-1255fab5639c","Renal Function Test"
"019d8bc3-60de-7118-8149-b67c2a988cee","Rheumatoid Factor"
"019d8bc3-60de-7129-b29e-bd58ad67fd68","Serum Albumin"
"019d8bc3-60de-7133-beb8-e8359017165a","Serum Alkaline Phosphatase (ALP)"
"019d8bc3-60de-713c-b560-b2e7f6206f45","Serum Calcium"
"019d8bc3-60de-714a-beb5-9329afdc6fc7","Serum Electrolyte (Na+, K+)"
"019d8bc3-60de-7153-91fe-ad1d926b9901","Serum Total Protein"
"019d8bc3-60de-7167-bd1f-3ad9e6146d5e","Serum Triglyceride"
"019d8bc3-60de-7173-ac3a-fabc87b85bbf","Serum Uric Acid"
"019d8bc3-60de-7187-a1fb-1f16e4c01366","Total Proteins Blood"
"019d8bc3-60de-7191-8b15-34969364035a","Total Serum Cholesterol"
"019d8bc3-60de-71a6-96a3-8780b14b996d","Troponin"
"019d8bc3-60de-71b1-b832-ec34b89a4ff3","Typhi Dot"
"019d8bc3-60de-71f6-9a4f-2e778b9fd248","VLDL"
"019d8bc3-60de-720f-bbf5-6e5e2a7f53da","Alpha-Fetoprotein (AFP)"
"019d8bc3-60de-721a-a119-d31b03061407","Arterial Blood Gas (ABG)"
"019d8bc3-60de-7297-b4f5-0256e482df08","Cancer antigen 19-9"
"019d8bc3-60de-72a6-aaac-0a56ea5cd30a","Carcino Embryonic Antigen (CEA)"
"019d8bc3-60de-72b2-bc97-496b3efe636f","Clusters Of Differentiation Cells (CD4)"
"019d8bc3-60de-72c0-8ac9-ce697bf468e6","Coombs Test (Direct)"
"019d8bc3-60de-72cd-92fa-ffa375301fbd","Creatine Kinase (CK)"
"019d8bc3-60de-72d7-9137-6bb3bc52c149","Creatine Kinase - Mb (CK - Mb)"
"019d8bc3-60de-752a-8b55-ffadccc585b1","Viral serology"
"019d8bc3-60dc-7465-9051-14ed8795da59","2 Hour Post Prandial Blood Glucose"
"019d8bc3-60dc-756e-a75a-dcb199d7a67b","24 Hr Urine for Protein"
"019d8bc3-60dc-7589-a54d-d1d167f8d15b","Acid Phosphate"
"019d8bc3-60dc-759a-99ed-143bc6895a16","AEC"
"019d8bc3-60dc-75a9-8d23-c6fe72e92e36","Apt-Prothrombin Time"
"019d8bc3-60dc-75c6-af10-b95af21a9ba6","B/F for Malaria Parasites"
"019d8bc3-60dc-75da-a5c2-33f0c22a1491","Bleeding and Clotting Time"
"019d8bc3-60dc-75ee-9b2e-1cf06172479e","Blood for C/S"
"019d8bc3-60dc-7606-823f-6f9a1495b5e9","Blood Grouping"
"019d8bc3-60dc-7614-943d-adc028cb7f3c","Blood Grouping & Antibody Screen"
"019d8bc3-60dc-7624-bd31-ab4a67ca4aed","Blood Parasites"
"019d8bc3-60dc-7639-8e93-6a672ee6d767","Blood Sugar PP"
"019d8bc3-60dc-764f-8548-71db1abedb0d","Blood Urea"
"019d8bc3-60dc-7662-85d4-5de58141c1b2","Chloride"
"019d8bc3-60dc-7673-b804-694a5fc581e9","Demonstration of Heinz bodies"
"019d8bc3-60dc-7684-8da0-c02f743b026d","Donor Screening for HB & AG"
"019d8bc3-60dc-76ad-b4bb-2f3e6e8f3ea1","Erythrocyte Sedimentation Rate (ESR)"
"019d8bc3-60dc-76c1-86a9-f0554829dde7","Fasting Blood Sugar/Random Blood Sugar"
"019d8bc3-60dc-76d7-893e-be413217a456","Grouping/Cross Matching/Unit"
"019d8bc3-60dc-76e8-a515-b0b6540e4950","Haemoglobin Estimation (HB)"
"019d8bc3-60dc-76fa-a31b-28917bed364f","Hematocrit"
"019d8bc3-60dc-771d-9d6b-00ecc373a08f","Malaria Card Test (Dipstik assay/rapid card)"
"019d8bc3-60dc-772d-a038-0b4f28b2e2d3","NA+"
"019d8bc3-60dc-773c-a3c3-40780798db51","Oral Glucose Tolerance Test (OGTT)"
"019d8bc3-60dc-774e-adb4-fd7080d8ff56","Platelet Count"
"019d8bc3-60dc-7767-a4f8-4881e7e74d4c","Potassium"
"019d8bc3-60dc-78ae-aa60-4c82ccd4392c","Pregnancy Test"
"019d8bc3-60dc-78cf-a67e-db6d4377708b","Prothrombin Time"
"019d8bc3-60dc-78e4-9ffb-90b3b3b264dd","Reticulocyte Count (Retics)"
"019d8bc3-60dc-78f6-b6c1-f1b87862ce5f","RH Typing"
"019d8bc3-60dc-790a-a78d-13b3735aa7f2","Routine Stool Examination"
"019d8bc3-60dc-7918-b8f5-b30f070c0cbf","Routine Urine Examination"
"019d8bc3-60dc-792f-acf0-061ca0a1c84b","Semen Analysis"
"019d8bc3-60dc-7942-bb21-167ebb27cff3","Sickling Test"
"019d8bc3-60dc-7950-9a36-7bd413debae9","Skin Scrapping for Fungal Elements"
"019d8bc3-60de-747c-8461-1ade7172cb6a","Prostate Specific Antigen (PSA)"
"019d8bc3-60de-748a-96f0-97ae19337c70","Serum Adrenocorticotropic Hormone (ACTH)"
"019d8bc3-60de-7495-9eee-5ea02e55cd8e","Serum Beta-Human Chorionic Gonadotropin (HCG)"
"019d8bc3-60de-74a1-b045-a4134393cb64","Serum Ferritin"
"019d8bc3-60de-74b4-835d-c36561501889","Serum Iron (Fe)"
"019d8bc3-60de-74c3-85b0-a5b720402c08","Serum Lactate Dehydrogenase (LDH)"
"019d8bc3-60de-74cd-b4f0-0a0ec873c8ab","Serum Prolactin (PRL)"
"019d8bc3-60de-74d9-ab21-6b3d7dd9010e","Serum vitamin B12 and folate levels"
"019d8bc3-60de-74e7-8b0b-c0fb5e094db2","Testosterone"
"019d8bc3-60de-74f1-828a-1d087c4d078e","Thyroid Function Test (TSH)"
"019d8bc3-60de-74f8-a288-42b75ad853be","Thyroid Profile"
"019d8bc3-60de-7506-8212-768f1df3d2da","T3"
"019d8bc3-60de-7513-80a1-7d82cee7315b","T4"
"019d8bc3-60dc-7b73-aa87-8069aff2d4bf","C Reactive Protein"
"019d8bc3-60de-7326-b465-63a1a54c9929","Digoxin Level"
"019d8bc3-60de-7330-882c-560a65a5c7db","Dihydroxy Epiandesterone Sulphate (DHEA-S)"
"019d8bc3-60de-735a-af0e-4d7dbb62710e","Estrogen"
"019d8bc3-60de-7362-94ce-ba8ebd2fd7be","Factor IX"
"019d8bc3-60de-736f-89cf-5eee7196c97c","Factor VIII"
"019d8bc3-60de-737b-bce5-ed9d42abdaf4","Follicle Stimulating Hormone (FSH)"
"019d8bc3-60de-7385-9aaa-ace9ef1bf3e8","FT3"
"019d8bc3-60de-7390-9d4a-32e7f36f1b54","FT4"
"019d8bc3-60de-739a-bd72-ee6e58b1747c","Guthrie test"
"019d8bc3-60de-73b2-8095-7500a6f55d9b","Human Immunodeficiency Virus (HIV) Confirmation"
"019d8bc3-60de-73bd-9d54-d272facef857","Immunostaining"
"019d8bc3-60de-73d5-a1ef-579311104b7e","Luteinizing Hormone (LH)"
"019d8bc3-60de-7470-b23b-2d2929cef6af","Progesterone (Prog)"
"019d8bc3-60de-7251-a17e-c3800a6a33a3","Breast tissue Biopsy"
"019d8bc3-60de-7434-9d57-fe47ad52e631","Percutaneous Biopsy - CT Scan Guide"
"019d8bc3-60de-722e-b71c-fd6ce81faffb","Bone Marrow - Trephine Biopsy"
"019d8bc3-60de-7239-853c-b8ec16e79563","Bone Marrow Aspirate"
"019d8bc3-60de-7347-bb73-57584b2141e4","EEG (Electroencephalogram)"
"019d8bc3-60dc-7697-9c99-89faed6dae0a","ECG"
"019d8bc3-60de-7226-bfe3-a9e18a4b2949","Biopsy L/A"
"019d8bc3-60de-71dd-948e-2a7930df6060","Ultrasound Guided Incision & Drainage"
"019d8bc3-60de-7105-812e-d194fd6631f9","Pulmonary Function test"
"019d8bc3-60de-70db-a48d-c7264a8bbb70","Percutaneous Biopsy - Fluoroscopic Guide"
"019d8bc3-60de-70cc-b1be-ba162987b1cb","Pap Smear/Fine Needle Aspiration"
"019d8bc3-60dc-7e4c-90cc-2e69ae5037f6","Keratometry"
"019d8bc3-60de-73a5-90c9-7a706f233049","Holter"
"019d8bc3-60dc-7d5c-8a45-a13eed5c8ee9","Gonioscopy"
